,Week,Player,Status,Proj,Fantasy: Full Game,position,team_abbr,game_half,Passing_Yards,Pass_TDs,Interceptions,two_point_conversions_pass,Receiving_Yards,receiving_touchdown,receptions,two_point_conversions_rec,Rushing_Yards,Rushing_TDs,two_point_conversions,Fumbles,Fantasy: First Half,Fantasy: Second Half,Team_Rushing_Yards,Team_Rushing_TDs,Team_Passing_Yards,Team_Passing_TDs,Team_Interceptions,Team_Fumbles,Team_Receiving_Yards,Team_Completions,Team_Receiving_TDs,cum_avg_targets,cum_avg_receptions,cum_avg_carries,cum_avg_target_share,cum_avg_air_yards_share,cum_avg_interceptions,cum_avg_passing_yards_after_catch,cum_avg_completions,cum_avg_pacr,cum_avg_racr,cum_avg_rushing_yards,cum_avg_rushing_fumbles,cum_avg_wopr,team_cum_avg_passing_yards,team_cum_avg_passing_tds,team_cum_avg_attempts,team_cum_avg_completions,team_cum_avg_rushing_yards,team_cum_avg_rushing_tds,team_cum_avg_sacks,team_cum_avg_interceptions,team_cum_avg_rushing_fumbles,team_cum_avg_sack_fumbles
609,8.0,Dalvin Cook,QUESTIONABLE,16.059398929,25.1,RB,MIN,Half1,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,80.0,0.0,0.0,0.0,12.4,12.700000000000001,134.0,1.0,115.0,1.0,0.0,0.0,115.0,14.0,2.0,3.0,2.0,15.0,0.0877525731921196,-0.035786863416433334,0.0,0.0,0.0,0.0,-0.9193181991577148,75.0,1.0,0.11158821731805801,256.3333435058594,1.0,40.0,27.666666666666668,97.83333587646484,1.6666666666666667,1.8333333730697632,1.6666666269302368,1.0,1.0
610,8.0,Tyler Lockett,ACTIVE,12.967490201,15.3,WR,SEA,Half1,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.8,12.5,35.0,0.0,95.0,1.0,0.0,2.0,95.0,15.0,1.0,9.0,6.6,0.0,0.25214797258377075,0.364226371049881,0.0,0.0,0.0,0.0,0.7610229253768921,0.0,0.0,0.6331804394721985,244.57142639160156,3.0,28.5,23.0,137.0,1.6666666666666667,2.6666667461395264,1.3333333730697632,1.3333333730697632,1.0
611,8.0,DK Metcalf,ACTIVE,12.482404557,17.5,WR,SEA,Half1,0.0,0.0,0.0,0.0,31.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.1,4.4,35.0,0.0,95.0,1.0,0.0,2.0,95.0,15.0,1.0,7.0,5.0,0.0,0.24577200412750244,0.3161391317844391,0.0,0.0,0.0,0.0,0.7244741320610046,0.0,0.0,0.5899553894996643,244.57142639160156,3.0,28.5,23.0,137.0,1.6666666666666667,2.6666667461395264,1.3333333730697632,1.3333333730697632,1.0
612,8.0,Geno Smith,ACTIVE,17.462063688999997,19.08,QB,SEA,Half1,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.700000000000001,10.379999999999997,35.0,0.0,95.0,1.0,0.0,2.0,95.0,15.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,91.71428680419922,23.0,1.0307023525238037,0.0,18.85714340209961,1.0,0.0,244.57142639160156,3.0,28.5,23.0,137.0,1.6666666666666667,2.6666667461395264,1.3333333730697632,1.3333333730697632,1.0
613,8.0,Dallas Goedert,ACTIVE,10.530916123,12.4,TE,PHI,Half1,0.0,0.0,0.0,0.0,57.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.7,1.700000000000001,23.0,0.0,191.0,3.0,0.0,0.0,191.0,15.0,3.0,9.0,4.0,0.0,0.20609326660633087,0.16788847744464874,0.0,0.0,0.0,0.0,3.8990206718444824,0.0,0.0,0.42666181921958923,252.3333282470703,2.0,29.0,15.0,156.0,1.0,2.5,1.0,1.0,0.0
614,8.0,A.J. Brown,ACTIVE,16.224311750000002,39.6,WR,PHI,Half1,0.0,0.0,0.0,0.0,113.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,34.3,5.300000000000004,23.0,0.0,191.0,3.0,0.0,0.0,191.0,15.0,3.0,9.0,4.6,0.0,0.3102738857269287,0.4545574486255646,0.0,0.0,0.0,0.0,1.0846229791641235,0.0,0.0,0.7836011052131653,252.3333282470703,2.0,29.0,15.0,156.0,1.0,2.5,1.0,1.0,0.0
615,8.0,Miles Sanders,ACTIVE,14.056054060000003,13.8,RB,PHI,Half1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,12.8,23.0,0.0,191.0,3.0,0.0,0.0,191.0,15.0,3.0,2.2,1.6666666666666667,17.4,0.0756402239203453,-0.009151690639555454,0.0,0.0,0.0,0.0,1.3222222328186035,80.83333587646484,0.0,0.10705414414405823,252.3333282470703,2.0,29.0,15.0,156.0,1.0,2.5,1.0,1.0,0.0
616,8.0,Jalen Hurts,ACTIVE,24.036079447000002,28.4,QB,PHI,Half1,191.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.64,7.759999999999998,23.0,0.0,191.0,3.0,0.0,0.0,191.0,15.0,3.0,0.0,0.0,12.2,0.0,0.0,1.0,139.3333282470703,15.0,1.3509544134140015,0.0,48.83333206176758,1.0,0.0,252.3333282470703,2.0,29.0,15.0,156.0,1.0,2.5,1.0,1.0,0.0
617,8.0,DeVonta Smith,ACTIVE,12.627797217000001,7.300000000000001,WR,PHI,Half1,0.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.3,2.000000000000001,23.0,0.0,191.0,3.0,0.0,0.0,191.0,15.0,3.0,7.666666666666667,5.0,0.0,0.2390245795249939,0.2785255014896393,0.0,0.0,0.0,0.0,1.3528332710266113,0.0,0.0,0.5535047054290771,252.3333282470703,2.0,29.0,15.0,156.0,1.0,2.5,1.0,1.0,0.0
618,8.0,Tua Tagovailoa,ACTIVE,20.214920564099998,29.18,QB,MIA,Half1,253.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12,11.059999999999999,26.0,0.0,253.0,2.0,0.0,1.0,253.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,1.5,103.4000015258789,19.0,0.9553182721138,0.0,8.0,0.0,0.0,296.1428527832031,1.0,38.0,19.0,85.42857360839844,0.0,2.5,1.75,0.0,1.0
